Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
45250,280302,188352,29801,49016,39729,13528,27418,210243678,110651,71187,10721,95232513,60670,87747254,35589,120343655,48704,67939181,9386,70116220,39491874
45500,283687,191024,38189,51523,42289,15204,25586,208513406,108097,73628,10729,96922186,54879,89898474,33414,120159540,43502,68513417,8353,70876885,40115058
45750,285780,205221,35950,51435,42092,14944,25008,212340328,114185,71291,10712,96745146,55084,90781359,32556,121785172,40701,68532657,8892,70308266,41017016
46000,275781,192329,29374,38334,40021,14417,25257,213725326,135981,71433,11113,99887341,51620,89527452,28401,125230660,43233,70089033,9735,70914490,41072326
46250,278407,200980,29729,39477,43319,14527,26217,213255445,127533,72290,10959,99429945,52065,89673207,25566,132980980,40560,69685168,8887,74086711,41693739
46500,277987,201234,29529,37121,40730,15490,25940,215088552,119065,72826,10692,99394329,50180,82505443,25299,124714360,35293,69178518,9612,72735459,42174794
46750,277883,202811,29240,34729,74439,16123,26316,219118751,107096,71434,10699,99495052,49505,90114987,25381,127737634,38623,71374861,8397,73634644,43337277
47000,283579,202534,29186,35939,50471,14942,24494,219091303,107400,72436,10696,102025795,53244,87440670,25186,128279459,37643,71041106,8637,74743327,44002799
47250,294470,201151,29547,33913,45339,13795,25383,213118623,100078,73417,10692,100762301,50248,87420692,21891,135782655,36313,72493477,8383,73860699,43363704
47500,286424,202395,30178,34387,42333,13787,24707,223641678,103540,71456,10728,103544917,50595,87261186,25039,132049067,38487,79329651,9812,75567569,43083470
47750,282654,200067,30134,35053,68836,14750,22816,220878232,102666,74017,10675,102890801,64735,94214932,25559,131850773,36929,75212589,8832,76558599,44375028
48000,279875,203135,34015,40211,49955,15509,24255,225145521,101214,73700,10712,103418785,74408,88268690,23921,135102421,39146,76699667,10661,76889376,46324486
48250,287113,200727,30082,37655,46842,14298,23579,224621095,99285,72413,10789,103340171,66176,89106590,27963,134701464,40419,79679414,8996,78598437,46440667
48500,288953,197229,30095,37221,40791,14700,24151,219586352,102014,75109,10717,103962467,55924,91914312,24094,145752950,37645,76915475,10497,81914645,46331421
48750,285258,204982,29944,35622,40584,15320,25200,230220978,98499,76088,10821,104901690,50824,92273394,24747,136975917,37996,77525651,10313,79362412,47239314
49000,293554,198072,30854,35481,40074,15084,25818,227093923,102000,73431,10928,107567420,49073,93248992,25488,138235486,39218,79058804,8644,78247963,49102532
49250,283034,199700,30842,33602,39509,14276,25757,230543513,115182,73239,10740,111250651,47117,93344046,27739,139450474,41956,77800841,9673,78653080,50821859
49500,276723,208091,33705,35399,40325,11494,27295,231551838,95719,75148,10717,108018265,45890,94876609,26843,148539057,36894,80556138,9653,75622435,46720860
49750,281348,240472,30000,38380,45664,12395,28001,229458093,105737,73426,10753,109162242,49965,96178433,25874,152990138,41829,81325145,11629,75964319,48322376
50000,281830,236821,29843,51097,47488,13219,24225,236497652,100718,73758,11758,108532374,48869,96569962,25427,143980267,60689,82307626,9022,78091101,50160778
50250,277443,219790,29944,47276,43162,11787,28671,236849600,97497,73151,10699,108964743,48437,95312825,23855,142656420,60900,82234038,9391,76575239,49367079
50500,292952,207556,29686,52219,46843,12738,25676,234081052,96844,72125,10710,112756673,52005,100534922,22539,155668366,54111,80920624,10931,77293842,45780479
50750,287204,192560,30224,50341,47695,11061,27527,240476176,96397,70292,10747,111784241,53031,99037562,24130,148395448,54713,82423706,9163,77988652,44068096
51000,294067,188436,29815,47190,44853,11703,25476,238140555,96493,74052,10679,111418642,48800,100541037,22423,146493989,53885,84588868,8789,79555165,44673783
51250,294673,191387,29750,46558,51470,10545,28401,245438644,95218,77761,10685,111712754,47755,101534917,24951,149724048,53529,83893366,8310,79528139,45089459
51500,281307,199061,29867,48744,81592,11444,28328,241521440,5267730,73462,11254,115123829,49089,104873193,23444,167078503,53650,79711589,9173,79403613,45574407
51750,287068,194329,30220,34304,62378,11697,25595,239757675,63132,76221,10890,117761958,49126,106217652,23344,165655922,58672,82745269,8342,87093449,45646694
52000,297652,194157,29694,34993,64326,11693,23409,243729694,66859,71615,10858,114643769,54992,106531582,24106,160030592,63226,81211760,8832,83390159,45771466
52250,284475,188750,30319,34349,68449,14826,27048,241361614,66333,70243,13405,113924016,49995,107546307,23414,161822867,58846,81861799,9412,82282544,46132781
52500,285759,194980,30272,34604,72250,12324,24889,253233240,66213,73702,12054,115187593,49694,107298772,28536,181076533,65411,82311454,9027,82359049,46239138
52750,281207,194728,30826,33553,56650,11396,26322,244970665,69417,71514,10910,115165342,49276,109195482,25031,173189369,47009,83331355,9114,82232042,47132969
53000,289267,197437,30383,34330,77033,11840,26433,246448266,66591,73808,10734,119343188,53550,112527594,25263,178420023,51528,84946531,8662,84144303,48062342
53250,278559,198565,30197,35156,65556,12409,27350,251082128,68183,73975,10798,117161614,51469,110456391,29987,183159905,64075,84238114,9391,83422278,47666092
53500,287507,187216,29957,35326,60691,12059,25703,253415127,65481,73656,10901,116097604,51240,110289397,30841,186496698,67163,87353005,10446,84111767,47657413
53750,286388,202574,30042,32638,60138,13354,28885,253064731,67938,75349,10693,121611728,48379,111469589,31781,180780656,51953,84707872,10034,85947786,49584412
54000,330186,199177,29896,34800,59235,12355,27083,252996509,69827,75921,10946,117553317,52789,111758248,35178,191238794,57328,84858900,8241,85571409,48151209
54250,361257,194072,30371,35292,66193,11296,28029,253542623,67574,77978,10792,122223900,54049,114477408,57341,191949238,53419,91498306,8200,87095510,49804522
54500,294194,201439,30171,34099,60717,13320,26262,258153607,70003,74401,10735,122472271,52754,115817855,67422,185062648,48167,87474695,8895,86807388,49907123
54750,286414,217860,30266,33109,67392,11960,27972,256513302,70154,79270,10681,121632103,49550,116384285,58103,195679523,52805,88355692,9013,91673794,54484415
55000,308512,197894,29732,35174,62585,12412,28329,265432983,67464,78972,10820,121750370,70821,120124437,49186,196747552,52587,87616933,8085,86912054,49658186
55250,291502,200536,29790,33070,50847,13958,24893,258417950,67904,77261,10747,122326029,61698,120097759,55685,188371518,47152,91108991,8682,88318937,50469310
55500,290472,200688,30107,34388,57925,21262,25894,268758551,68475,76871,10807,126908225,61692,123811105,107739,201955450,56588,90414965,9532,90993251,50206242
55750,288079,203220,30019,35267,70852,22277,24392,261787453,70269,80222,12021,125563286,55387,122809841,77964,199991494,57565,90769916,10247,89959744,51600741
56000,287997,204538,29913,33092,53833,25662,24676,268188317,67436,75675,11884,124561969,57188,123855500,50940,208865128,51272,90772582,8412,90652146,51795378
56250,315646,201973,33326,32986,56601,26753,26824,267283217,80562,78336,10690,125802155,75397,123215196,35352,209153695,63731,91839232,9315,91393415,53041906
56500,299217,204028,34431,34488,57622,34991,25755,268711481,105673,76980,10704,125512633,73638,125744144,36125,203994842,73729,92313438,8494,90595770,55704625
56750,291160,207515,30138,33521,46474,19490,25964,267254560,105860,80105,10691,130386622,53643,129567493,41527,212054989,48804,92767976,8092,92949122,54090871
57000,280314,209797,29921,33592,46682,18840,25807,265619476,105252,76894,10693,128091738,61154,128769382,39545,215267477,44759,100987531,9162,94722966,54274877
57250,286647,199675,30189,34151,46539,19020,24479,280134832,113391,78014,10728,128059367,59205,129211883,37797,208186541,65049,94098690,13488,94878426,55980653
57500,286101,201055,29820,34926,51237,17089,25069,269588791,116298,80126,10693,128744469,58472,128435899,39807,205040126,43201,94862509,12238,100713895,55774151
57750,291120,207867,30189,32543,40808,17738,24713,274643193,111308,78694,10683,132120050,64674,134103336,32406,225869703,39439,94904750,20357,95583996,56391103
58000,289213,210528,29860,33715,41908,17524,26053,278096283,117104,75676,10670,132629517,66178,135590309,34956,221146867,38893,96527063,21329,95737973,56943907
58250,302509,209988,30575,34709,43124,20070,25906,284525141,123228,80146,10723,130789501,76525,132328603,45970,206552102,38812,96529428,18854,97185434,57442028
58500,280445,213757,30352,33561,40725,15806,26905,279663548,111807,82481,11492,131272509,70638,135367345,46991,232782339,37220,99724343,33463,98397170,57484427
58750,289984,209782,30377,33964,42358,16013,27637,280533948,90277,80693,10723,130701129,75092,135944964,45902,212216448,38207,99098875,19391,99154168,57130907
59000,292206,227406,30016,33202,44088,15694,27216,283995711,89336,77106,10696,135540590,67818,141327375,46099,223281565,42414,99440577,22308,98202859,56976531
59250,292421,213299,30169,33223,43207,14998,26931,282232159,87964,82560,11288,132720833,73432,136327815,46519,237757584,37781,99508197,18019,99621873,62738065
59500,289863,215474,29942,32901,42538,19355,24264,280478421,84659,83629,11889,133144220,74466,138134160,45135,227148600,38828,100577790,21211,99000833,57344685
59750,283747,211042,29836,33460,43426,17910,25650,291454082,87409,92482,10930,136256385,86997,139821929,44006,244066658,40566,102847263,17381,100724666,58053200
60000,285336,213505,29914,33308,42007,18087,25581,291302308,84229,84622,10694,138484439,79338,145927673,46465,227309832,38739,103420005,19990,106738314,57674040
60250,278812,220818,28967,33951,41658,19666,30090,291153075,83461,84306,10916,138579890,81977,141275094,46811,227017723,38344,99688941,21727,101407952,57916437
60500,292006,217239,28378,34125,64015,21215,34154,288088920,89745,86093,10725,136375494,72414,144408211,45762,245492489,39040,102049216,13329,100901286,58566534
60750,285269,249141,29282,35165,54192,20323,33710,296703756,86043,80382,10693,137694351,68163,148086893,46712,223775364,40031,103316444,12120,101321696,67128974
61000,292325,217207,28609,33896,45755,21079,25783,293512676,84830,84181,10923,138236598,68574,152700673,44045,244849677,45147,103148985,13849,101865957,60799475
61250,300847,221767,28562,33967,50414,20484,28470,295328406,81196,83512,10643,141407062,70358,144433202,43085,243613454,50071,103650378,19844,102944608,60580484
61500,296805,223017,30373,34885,48128,15082,25703,293879539,84395,84916,10698,139681875,72493,147513640,43290,243462697,45321,107845588,20551,106779530,61228946
61750,292294,220553,30404,32539,45200,14322,28091,301824071,87031,82192,10704,138581258,73320,149802899,44333,255774251,63460,105809010,17760,104422470,63298432
62000,296445,222313,29073,34130,44769,18899,25137,297949811,88389,84900,10710,138462142,72725,156330412,63366,233442065,49438,108189860,22874,103461863,61591507
62250,296402,235319,28914,33773,42842,14967,28138,303345784,87760,83118,10989,143874808,76412,151476830,62659,268280482,50283,106859397,17623,106146476,61956124
62500,293829,229667,29194,33972,43130,17450,27356,307067282,85315,84041,10767,143230112,74781,154483676,56967,237158353,44937,107804020,15548,109486042,62163443
62750,287388,233899,28580,32850,38338,17920,27474,304865124,88979,83985,10901,142986022,78305,152715208,44695,241374504,44819,113789716,22542,106166146,62708418
63000,290449,260673,28939,34226,37594,19223,26027,303352306,89283,85992,10713,142255826,73410,159990007,34165,255753901,44852,110726570,20865,108753090,62995927
63250,296035,277645,29293,36476,42517,17433,28030,308362849,98859,86696,10700,147582774,73501,154415290,24467,246554913,45754,109384694,15960,106511963,67036850
63500,293591,233758,28544,36252,39829,17101,26749,305296836,89679,89038,10681,146726283,79164,154851287,26493,268675199,44168,109843852,11693,106631433,63185627
63750,317064,231408,29481,36801,44560,23167,25012,313145744,93847,84854,10719,145026311,95719,155876680,24027,243467065,45615,111134182,12512,107836712,64027824
64000,290449,219455,28469,36425,40429,23463,25993,315488959,86694,90889,10673,145642872,72679,165905163,23110,264220927,45532,111701940,10823,108712740,65614729
64250,325430,217973,28412,33844,41748,20576,26150,317589338,89286,87338,10730,148263736,62832,159736466,22825,291874193,44956,116500894,12628,111412344,66777277
64500,299511,215577,29062,35972,42687,25976,27035,311587074,104207,85351,10777,148516350,81368,165642765,22714,266761827,45650,113813899,11556,111699281,82381582
64750,326295,217359,28553,36774,40484,25008,25782,315142812,146118,90007,11028,147394845,72961,169399450,24720,262280754,44417,112954378,12522,115346315,68899591
65000,313090,221216,28476,34243,40837,28831,24943,320487574,108248,86808,10757,148891102,64852,167547647,24627,250365929,45205,115809037,8697,111614024,66573776
65250,252686,220165,28663,33673,41673,26235,26269,318521959,98300,88414,10826,152025276,64639,162989980,23273,289780543,47383,115349332,8640,112525719,66351135
65500,256807,214622,29185,33308,38908,23066,27887,316863450,95042,90718,11018,150905584,73954,170289843,22782,252653783,40525,118332920,9199,114011124,66626693
65750,248924,214960,29272,35447,41782,24571,26726,325733696,98494,88936,10696,149665516,142702,176681686,22369,288204486,3991337,116372913,9823,114948593,66737775
66000,241839,228211,28529,37372,42912,29546,26130,323151688,87840,94336,10722,150271163,144305,170477624,29906,269659419,60036,115329392,8877,113028378,66771651
66250,242534,222232,28684,36310,40220,35547,26217,331033105,92022,92217,10825,153317760,80997,171564769,32790,296359877,54589,117156686,8438,113993264,68326300
66500,261724,258741,29219,32869,41044,34533,25770,330808603,92879,91454,10742,153422037,85466,176950275,34677,270821736,48854,119117243,9650,117207431,67567421
66750,276070,260365,28934,35502,39982,33832,25928,327869897,90667,92180,10796,157087517,88329,178622048,32955,293316055,49801,120800866,11064,115561294,68178905
67000,276214,236256,28753,37342,41342,33790,25193,329184411,91741,92885,10707,152473124,60462,177094461,23993,285095917,53914,118800946,15750,122461405,71633708
67250,300411,216126,28696,35828,38763,25347,25707,329741255,88057,93167,10754,156373444,66730,176471714,22189,296993508,47052,120370703,11861,116599336,68444908
67500,335057,211412,28844,39154,40677,21024,25729,332540521,89603,91718,10706,155932090,81979,184562537,24634,285842777,57021,120330664,11792,116582791,68690764
67750,332050,212854,29035,50542,42402,21007,25365,333216499,91301,93139,10722,154734245,56289,175394540,24837,296750030,76522,120997585,14686,117367593,68482290
68000,312289,217279,28130,45627,41510,20629,24744,339795344,91177,93386,10846,153526713,45862,180087711,24448,278457152,77963,123486693,15218,118329445,68853704
68250,309087,217066,29050,42682,39660,21409,26647,336720811,84819,92392,11034,164068473,44753,190479168,25457,288219421,60371,122521642,16043,120829460,70472976
68500,305644,238932,28502,37174,41101,22091,25112,339893008,92450,94177,10873,159754837,46692,185651341,25733,294485639,51576,125352641,12703,119430484,70760536
68750,295622,239442,28469,36484,42246,22550,25591,339978228,90317,97124,10737,158420422,55933,180765686,30635,301833974,55838,124620931,14840,119272070,70296629
69000,313306,220459,28360,37344,40418,22266,24879,338572758,89809,134957,11438,158176692,45390,192200859,39696,312305770,52496,123816337,17587,126072876,70523198
69250,296212,226065,30248,37788,38914,21830,27550,341833924,91618,113166,10753,161981333,45427,184091951,38523,338179340,48636,126958780,13948,121475043,71325773
69500,290425,228389,28799,37107,40677,21005,26587,343309459,114322,113895,10713,159376311,43263,184260733,53187,302837003,66267,124793393,12207,124122244,71715528
69750,293870,222812,29236,43558,40845,35502,25458,344244584,94202,130803,10714,164093698,44887,195557311,36934,312320742,49086,125325956,12779,122993031,72035702
70000,289209,223787,28601,40874,40421,34992,25321,343091613,88359,107276,10730,162003880,46334,192293171,38806,298358876,44218,126406538,11299,123464103,72473854
70250,289893,218312,28934,45494,43775,42264,25915,352676995,90795,107742,10839,167607874,58241,188428578,40735,313949275,52111,126990230,13387,124336683,73149448
70500,301984,224599,29296,39396,40699,40479,26260,349010685,88752,103172,10756,164217422,54923,193851310,46815,309335398,81859,131095297,14201,125260169,78599473
70750,286608,225423,29069,38793,42171,33455,24799,348664734,89630,129817,10843,164052262,62131,201965405,50614,320307634,69960,128895296,15415,129106893,73603595
71000,286100,243793,29248,39422,44012,52139,23825,356016736,88819,116838,10776,166852257,60638,198026481,39767,311205613,52376,128907915,13310,131524194,73781632
71250,288627,223905,28893,46125,48920,31259,25604,353012404,90076,125111,11009,169670805,59161,196136091,32855,321013462,56100,130574167,12737,126212408,73779890
71500,287681,230470,28858,41198,52063,30403,25690,357369663,86652,140677,11012,165065441,54327,204997852,34830,296891701,48248,132225295,12550,126996521,74689140
71750,290103,225806,29036,36703,47074,31190,26587,358864113,91109,135647,11479,164799616,41277,194252383,35206,327223333,50028,130017969,12132,129270025,74740788
72000,284408,222989,28183,34473,43316,31483,26002,355950711,89959,127642,10717,172344896,40918,198035572,31951,311296512,45129,131052943,11318,129603235,74874928
72250,289956,224800,28846,36922,45812,31936,28401,360881933,93325,120306,10687,169251314,41932,209909086,30342,341662677,47133,132086235,10716,128675884,75476833
72500,280276,223017,28791,38238,44421,33298,28405,358162014,93714,131159,10713,168507459,41397,195817189,23980,318107371,48192,135427754,10747,128484327,77203971
72750,291841,224128,29580,36765,44319,32747,27134,362484594,93491,155860,10731,176613498,40872,201165921,22465,330605422,46489,135134888,12744,130038425,75897340
73000,283147,220670,28866,47039,46902,30831,25858,365648402,87890,156095,11444,172671452,42900,206919494,24017,344676800,49417,133365808,8058,137690512,76018237
73250,285431,231019,28588,49068,42567,20674,26718,364611144,83759,127991,14305,170455467,44582,198059829,23733,328698634,47541,132533623,8942,131431697,76129101
73500,281343,221001,28803,48396,43115,25964,24385,404110464,89646,134696,10698,182904668,49067,209764967,23596,345437125,45188,133154719,9072,131682221,76597124
73750,300207,228673,28334,45880,44008,31595,25692,376514858,101382,138901,10692,181833411,56633,206599204,23291,323524571,43948,137045080,8641,132280874,82120733
74000,286227,225337,28723,36236,49142,32028,24353,377903336,89257,136048,10703,174959556,59724,203808674,24516,342741721,51595,135381845,8512,134455788,78050638
74250,285970,228054,28688,35845,59981,31325,26321,376035878,91051,123591,10905,178112675,62029,209029872,23998,344724917,42608,136472441,8688,135150588,78698315
74500,282565,229251,28650,36275,88029,41901,27833,370358524,95761,115164,10719,181739901,65570,218100616,23488,348486747,43507,140203580,9251,132483886,78500934
74750,285991,236566,28526,35801,93669,31462,26484,375907711,89516,130295,10697,178213112,59341,214597043,24464,347251559,47168,139040570,9505,138924319,78543885
75000,295850,246798,28825,34784,70857,46780,25570,380251910,89450,115871,10713,176513030,62474,219470094,26310,334787824,44577,139190159,8936,134662796,78262579
75250,286029,238768,28944,35498,70810,31291,24858,376111575,90425,118060,10749,181495315,44731,213079372,25468,352271068,44369,140390656,8144,138255204,78169257
75500,288714,230824,28936,36946,65181,31326,24774,378123999,86590,121537,10681,183040239,46189,212620715,24068,336165531,46944,140145207,8910,138088993,79417762
75750,284482,237762,28906,48973,61188,29610,23704,379872416,88953,119945,10694,186303156,57973,222314035,23211,371757095,43288,139940220,15324,136955245,79159003
76000,284096,231434,28599,52391,82447,23871,24030,379413964,86655,111584,10721,178882088,50965,215963927,23127,353559368,50963,143632899,12393,137307085,79571634
76250,281771,236603,28671,37702,103084,22135,26585,384400670,86671,112592,10739,192422957,49267,215345826,23175,345931483,55847,143576139,8052,142255170,81716382
76500,281796,238825,29256,38022,78561,21352,26205,381990016,91937,110417,10738,184589187,54831,221411963,23726,381434606,58352,139527034,9360,138689851,81094477
76750,293690,236837,28752,37288,66424,20649,27054,407692983,89517,110231,10948,180550378,58725,216378221,23354,353294316,56434,143115335,9362,142733148,81358623
77000,304313,273362,28837,38610,54951,21626,26598,397396896,91687,112700,10735,193118406,51864,231538716,22557,388322215,58786,145419351,8999,139843295,86031099
77250,310786,243506,28969,38355,60418,21475,26989,390416275,87011,112675,10996,182077828,44731,229456671,25225,360621745,62740,143809014,8021,143232324,82230940
77500,305787,239025,28910,38060,59280,21596,26137,397030868,91908,112238,10722,180982417,45756,221464698,24215,365639461,56422,144479399,9392,143057164,82185541
77750,300276,240584,28744,38651,48757,21084,27107,391947250,91832,112064,10789,188420561,43422,228820062,25343,371719178,58530,145417645,9715,140626359,82893237
78000,305348,242714,29129,37005,45269,22765,31313,392169536,95104,111848,10697,187605470,67077,221186986,26073,346001296,59359,150580107,9335,142689016,84542572
78250,340928,247647,29070,37329,45162,22337,26388,400023741,85977,112687,10713,185885001,49331,230776480,25639,380664206,59474,144358435,8110,145581724,84193307
78500,313172,250559,28542,36685,43171,21532,27690,396213900,90333,114268,10791,195802829,44985,233477820,23889,360402475,41756,146006998,9589,153880979,84420445
78750,311577,257028,28871,37730,42245,21686,28033,391070634,85935,117831,10770,193181238,42866,224137586,24555,356945392,47143,146083884,9792,144241633,84284760
79000,318331,254398,28892,39024,42504,22528,31284,400209813,91496,116498,10685,189291922,44281,235722614,23952,375471884,46540,149451311,11633,144120767,84558664
79250,317482,266486,29395,40351,40132,22885,29598,399853626,86234,116314,10687,192088691,41125,229533472,23944,355904152,45642,147254871,15391,145948447,84662946
79500,329536,319149,29604,50360,42212,24770,26649,400156730,91482,116578,10680,193172454,46722,231353730,26408,373710850,49900,149172480,18986,151719299,85056056
79750,312258,353138,29018,36254,41075,25186,29681,404805818,87142,115728,10689,196189814,45207,239474618,25217,372006271,46385,152645874,17492,148802645,86592477
80000,311793,326311,28367,35236,41401,25465,27392,403935593,85260,117957,10701,193095434,47818,234586943,24744,359462156,45507,151663877,15260,151026643,92785248
80250,308662,292063,28567,41714,42924,24545,25797,405321725,88124,116936,10813,200175634,42329,241003545,26126,376613035,49717,151901210,14117,147815908,86511074
80500,309009,261946,29007,36042,41450,23340,26770,407732498,88251,117973,10708,193310144,44956,238561877,24401,376467477,48220,151578429,16215,150810727,86218599
80750,303883,269977,28449,35742,44040,23207,27565,413161617,86025,120518,10737,193099162,45762,244617437,24308,371484045,47189,151124496,19300,148125247,87298030
81000,304714,324467,28110,37447,43181,24618,25561,414555360,91332,130913,10769,206758595,48171,248463669,25404,386584065,48128,154581947,14480,149082221,87037357
81250,305470,312467,28994,47822,41590,23374,24991,416863369,85222,146407,10716,195526412,46433,244088213,24984,385300336,46586,156966033,14391,150931027,88105063
81500,315584,279863,29111,72479,42528,42356,24552,415469769,89960,130669,10829,193611696,44300,257455679,25442,390349435,47430,154448353,14591,151546069,89237273
81750,252113,253784,29311,55953,42879,21258,25912,412745298,92606,138290,10765,211242308,44451,240487658,33214,395874373,48528,161605245,12948,153721709,88312651
82000,232022,280090,28588,51921,42997,21891,24759,416613741,88789,136332,10750,200440217,42198,249905673,24334,371992840,47075,158752869,12716,151789979,88392190
82250,231819,222550,29499,53633,44481,22099,25615,418585550,90822,143529,10759,207352660,45809,279222218,24561,384809772,49990,157328568,13212,153764008,88736158
82500,226994,223123,29167,41011,42885,21391,25422,421742497,88523,144848,10686,208029425,41890,253949177,23423,392643171,48522,156371947,11294,155169204,88768084
82750,239619,226043,28912,39205,45050,22615,25700,419555604,86825,141563,10750,202809864,45777,260800256,24067,374078940,56167,156608603,11242,152922405,93222398
83000,222324,226681,28616,39298,42573,22656,26584,417835772,100197,142138,10768,209821719,44459,251191292,24476,396585443,57822,164363570,12613,154237292,89364670
83250,223612,226491,28344,38380,40673,22479,25729,428128352,89346,143283,10730,210236435,42959,276112693,24988,399002785,59510,159585744,18605,155179577,91447577
83500,221258,223623,28732,38897,38948,21643,25659,421863659,88658,145664,10751,204918858,56798,252173029,25035,382131496,56897,161253760,20982,157821483,90620268
83750,217425,229173,28686,38178,44090,22881,25395,429074652,97298,141193,10694,209604383,43392,255825559,24988,398637073,62533,162725227,20936,154429930,90507844
84000,220402,229359,28121,37454,45720,21978,24808,430803347,91498,150304,10708,216059007,39750,260873660,24099,392643414,56404,162425974,19832,157300989,90613975
84250,220395,226200,29017,37903,46685,20526,24580,436095360,86648,153893,10702,210086442,45342,266111970,27597,396177434,57181,162853164,24505,158557700,90983602
84500,217985,223851,28416,39218,51433,22625,25376,429152114,92223,140400,10724,215854722,56867,267602426,27245,408375105,46837,165569912,35660,159061931,91256069
84750,217345,229574,28309,37531,46539,24071,24748,425539429,96141,123214,10678,211251611,59969,258710239,30113,399533458,56828,165699806,12047,157219093,92809901
85000,213217,224979,28824,35945,42362,40509,24566,439785325,91285,113942,10774,208926918,52035,276399448,36864,391635312,57766,164685148,11840,160638036,92195357
85250,214849,228159,29169,31657,41953,36206,24236,434104398,89375,124169,10730,214618020,39245,274138605,33845,408426548,51824,164925425,13696,161659268,97882760
85500,218916,238293,29380,33143,43541,34913,24396,436222344,93177,119616,10770,208130891,41069,295259823,24986,403362156,57156,165369066,13041,159052071,96776457
85750,214006,254600,28835,33170,44158,33193,24638,437739613,90746,119619,10755,213346985,40036,263529492,26720,394784086,58986,168202686,12402,159700842,92891386
86000,216445,238663,28116,33789,44607,46807,27325,450675242,90875,120736,10704,222512139,44102,276630290,25177,407503959,59207,170445438,13893,160979733,92838595
86250,215869,233102,28474,33712,43605,35945,23544,438803377,92527,119757,10686,214070302,41186,274903853,25047,412775639,61044,165917668,19805,163400346,94303735
86500,215133,238827,28749,33331,44575,31106,26989,438386540,91362,121287,10829,218184436,41345,279610944,25605,401546975,62660,169704203,18637,163749283,95225116
86750,225535,239483,28580,34150,44345,34676,25781,450567554,90581,123694,10682,233772469,70051,281467841,24605,417593009,54596,168003721,18918,162496229,95027122
87000,214068,237501,28403,33000,42469,35922,37887,445815505,88829,135481,10694,223995913,63842,289665883,25274,408822517,48060,167023067,18799,163684121,95052489
87250,214386,237160,28896,35561,44553,32003,29780,447587166,95186,136508,10667,225443710,64550,300510441,24178,393782769,45768,167589190,19985,164192433,95162253
87500,213627,243077,28509,40748,42945,34011,30169,449913982,91436,151282,10692,222172751,72107,291346549,24782,420584009,44682,174234972,19235,162423734,95383800
87750,210793,244091,28527,42882,42366,33401,24542,455829724,93157,147381,10971,217113616,74127,301775713,26401,416652311,46039,170479557,14468,165932954,95524659
88000,213692,251428,27933,42039,41729,34522,24352,443460711,92841,147131,10744,232522773,72468,304156159,25582,406794550,44035,174656750,12367,169806383,101497823
88250,213362,247495,28969,39954,39476,24180,23417,454178526,88877,148456,10703,219374754,91927,308286234,23019,430486643,43735,178250798,13514,165588279,96701627
88500,214789,252807,28941,42177,42178,24945,22999,456716861,87162,139536,10692,218961291,88561,321418991,23765,415015262,63188,170921986,13249,166716615,96304191
88750,218948,242965,28860,43756,41178,23657,22923,456150547,88173,120693,10710,226859130,71754,306686500,24782,424923274,45669,172211456,12796,167845179,97038886
89000,218868,258903,28943,58810,48839,23533,24967,458573344,93977,153738,10721,218992631,71972,305811631,25330,421224477,45533,175683267,12278,169963528,97107617
89250,218895,257961,28468,44227,54799,23507,32075,455361871,88137,146342,10814,230615869,68516,323646765,25034,438258221,48472,176801979,17631,167712336,97342713
89500,213698,279985,29026,55180,46869,23891,24554,462463241,86433,152515,10744,226573560,63677,341883220,24561,428349664,54786,175913160,21212,172188204,99298144
89750,215511,265836,28929,51655,45792,23777,23185,459275568,92370,151345,10680,222088658,66466,331366497,26644,419057093,63430,174257425,15972,171713747,98605724
90000,215024,267660,28973,52527,40446,24230,23218,464184708,89786,147469,10777,234595836,67119,325709778,24453,442324915,53482,177522336,13015,169408094,98606432
90250,213685,272206,28825,51598,40951,23185,23307,460389708,88932,126827,10703,232139639,67255,315152008,26332,433089467,73196,179115399,13743,170186692,98924567
90500,210127,285513,28618,54482,39533,23348,24044,467369207,93544,128403,10706,227272694,65823,328439918,37037,442603490,54335,176340939,13191,170706361,98763410
90750,216921,325357,28915,55442,44658,22708,25256,460060974,95231,125361,10692,230715432,65690,322194578,28688,425759524,48745,178162032,13691,173211296,103371951
91000,225288,331069,28500,42120,44479,23174,27156,472354151,93455,131916,10719,225006782,65590,340602160,27704,440281324,54945,179076920,18248,175426467,101248926
91250,209556,350641,28878,37787,40050,20891,23124,469468638,90736,129342,10866,237308815,79793,337045570,29916,439860049,53034,176549611,16369,173176634,100551222
91500,215473,313813,28614,41227,38731,25322,23566,471838012,95258,124216,10711,236388692,109572,333320857,32274,430418859,52116,179373114,19927,176361119,100477441
91750,213189,325124,29068,40338,38733,26959,23637,478227060,85102,127246,10680,227093063,123203,345802977,41710,447812731,53630,185927887,19060,173288643,100554226
92000,213542,287440,28805,40662,48457,26700,25710,476705883,114755,131205,10674,235214494,91627,336117659,40215,438173457,53230,180837119,14065,175521240,100882111
